legacy_path	action	replacement_paths	rationale
contrib/satcompute/tests/unit/generation/topology/test_hypatia_smoke.py	removed	contrib/satcompute/tests/unit/online-orbit-foundation-test.cc	Hypatia 不迁移，使用 ns-3.48 C++ 轨道核心
contrib/satcompute/tests/unit/generation/topology/test_mean_motion.py	replaced	contrib/satcompute/tests/unit/online-orbit-foundation-test.cc	Python 轨道公式由唯一 C++ 核心替代
contrib/satcompute/tests/unit/generation/topology/test_orbit_positions.py	replaced	contrib/satcompute/tests/unit/online-orbit-foundation-test.cc;contrib/satcompute/tests/unit/topology-trace-exporter-test.cc	ECEF XYZ 由轨道核心和 exporter 验证
contrib/satcompute/tests/unit/generation/topology/test_resolve_constellation.py	replaced	contrib/satcompute/tests/unit/constellation-definition-test.cc;contrib/satcompute/tests/unit/test_constellation_schema.py	星座读取和 closed-world schema
contrib/satcompute/tests/unit/generation/topology/test_satcompute_schema.py	replaced	contrib/satcompute/tests/unit/test_constellation_schema.py;contrib/satcompute/tests/unit/test_topology_trace_schemas.py	完整 schema 拆为星座和 trace 数据合同
contrib/satcompute/tests/unit/generation/topology/test_static_topology.py	replaced	contrib/satcompute/tests/unit/topology-trace-exporter-test.cc	静态拓扑是共享 exporter 的单切片参数
contrib/satcompute/tests/unit/generation/topology/test_walker_tles.py	removed	contrib/satcompute/tests/unit/online-orbit-foundation-test.cc	TLE 生成不迁移，Walker 参数由原生轨道测试覆盖
contrib/satcompute/tests/unit/visualization/orbit/test_scenario_reader.py	replaced	contrib/satcompute/tests/unit/visualization/orbit/test_trace_reader.py	可视化数据源改为 manifest topology trace
contrib/satcompute/tools/analysis/__init__.py	replaced	contrib/satcompute/tools/analysis/topology_interval/__init__.py	父目录使用 Python namespace package，实际子包仍保留
contrib/satcompute/tools/analysis/topology_interval/report.py	removed	contrib/satcompute/tools/analysis/topology_interval/README.md	依赖旧 fixed-delay scenario 的冻结报告不迁移
contrib/satcompute/tools/analysis/topology_interval/route-audit-common.h	replaced	contrib/satcompute/tests/unit/routing-compatibility-test.cc	旧审计公共代码由生产路由兼容测试替代
contrib/satcompute/tools/analysis/topology_interval/route-candidate-audit.cc	replaced	contrib/satcompute/tests/unit/routing-compatibility-test.cc	候选读取进入生产 API 门禁
contrib/satcompute/tools/analysis/topology_interval/route-selection-audit.cc	replaced	contrib/satcompute/tests/unit/routing-policy-factory-test.cc	策略选择由统一 factory 门禁
contrib/satcompute/tools/analysis/topology_interval/route_probe.py	removed	contrib/satcompute/tools/analysis/topology_interval/ecmp_candidates.py	旧 C++ probe 编排由可重算 ECMP 分析和 C++ 测试取代
contrib/satcompute/tools/analysis/topology_interval/run_interval_study.py	removed	contrib/satcompute/tests/integration/smoke/interval_analysis.py	旧完整 scenario 实验器由 v0.3 trace smoke 替代
contrib/satcompute/tools/analysis/topology_interval/topology-cost-audit.cc	removed	contrib/satcompute/tools/analysis/topology_interval/compare_intervals.py	旧成本报告不适用于 distance 门控，保留状态/ECMP 比较
contrib/satcompute/tools/generation/scenario/config/synthetic-351-telesat-t1-compute-117.json	removed	contrib/satcompute/tools/generation/scenario/input-bundle.schema.json;contrib/satcompute/input/topology/constellations/README.md	完整 scenario 配置被拒绝，物理星座和运行参数分离
contrib/satcompute/tools/generation/scenario/config/synthetic-66-compute-22.json	removed	contrib/satcompute/input/topology/constellations/synthetic-66.json;contrib/satcompute/tools/generation/scenario/input-bundle.schema.json	66 星物理结构与独立 input bundle 分离
contrib/satcompute/tools/generation/scenario/config/synthetic-720-oneweb-compute-240.json	removed	contrib/satcompute/tools/generation/scenario/input-bundle.schema.json;contrib/satcompute/input/topology/constellations/README.md	完整 scenario 配置不迁移
contrib/satcompute/tools/generation/topology/__init__.py	replaced	contrib/satcompute/tools/generation/topology/topology-generator.cc	拓扑生成入口改为项目 C++ executable
contrib/satcompute/tools/generation/topology/common/atomic_output.py	replaced	contrib/satcompute/tools/generation/topology/topology-generator.cc;contrib/satcompute/tools/generation/scenario/generate_scenario.py	各生成器在自身职责内原子发布
contrib/satcompute/tools/generation/topology/common/configuration.py	replaced	contrib/satcompute/topology/orbit/constellation-definition.cc;contrib/satcompute/para.cc	星座结构与运行参数分别由 C++ 读取
contrib/satcompute/tools/generation/topology/common/hash_utils.py	replaced	contrib/satcompute/tools/generation/topology/common/manifest.py;contrib/satcompute/sha256.cc	Python manifest 和 C++ provenance 各自计算 SHA-256
contrib/satcompute/tools/generation/topology/common/satcompute_schema.py	replaced	contrib/satcompute/topology/export/manifest.schema.json;contrib/satcompute/topology/export/nodes-slice.schema.json;contrib/satcompute/topology/export/topology-slice.schema.json	机器合同与所属数据类型同目录
contrib/satcompute/tools/generation/topology/config/synthetic-66.json	replaced	contrib/satcompute/input/topology/constellations/synthetic-66.json;contrib/satcompute/para.cc	物理星座和运行参数拆分
contrib/satcompute/tools/generation/topology/dynamic/__init__.py	replaced	contrib/satcompute/topology/online/online-topology-controller.cc	动态拓扑由 C++ online controller 实现
contrib/satcompute/tools/generation/topology/dynamic/dynamic_isls.py	replaced	contrib/satcompute/topology/online/plus-grid-candidate.cc;contrib/satcompute/topology/online/circular-orbit-topology-policy.cc	固定候选、距离门控和时延共用生产实现
contrib/satcompute/tools/generation/topology/dynamic/export_satcompute.py	replaced	contrib/satcompute/topology/export/circular-orbit-trace-exporter.cc	导出进入共享 C++ exporter
contrib/satcompute/tools/generation/topology/dynamic/generate_dynamic_isls.py	replaced	contrib/satcompute/tools/generation/topology/topology-generator.cc	动态生成由项目 executable 编排
contrib/satcompute/tools/generation/topology/orbit/__init__.py	replaced	contrib/satcompute/topology/orbit/online-orbit-constellation.cc	轨道实现迁入 C++ topology/orbit
contrib/satcompute/tools/generation/topology/orbit/hypatia/README.md	removed	contrib/satcompute/tools/generation/topology/README.md	当前生成器明确不使用 Hypatia/TLE
contrib/satcompute/tools/generation/topology/orbit/hypatia/THIRD_PARTY_NOTICES.md	removed	contrib/satcompute/tools/generation/topology/README.md	随未迁移的 Hypatia vendor 一并删除
contrib/satcompute/tools/generation/topology/orbit/hypatia/__init__.py	removed	contrib/satcompute/topology/orbit/online-orbit-constellation.cc	Hypatia Python package 不迁移
contrib/satcompute/tools/generation/topology/orbit/hypatia/adapter.py	replaced	contrib/satcompute/topology/orbit/online-orbit-constellation.cc	适配职责由唯一 C++ 轨道 facade 承担
contrib/satcompute/tools/generation/topology/orbit/hypatia/mean_motion.py	replaced	contrib/satcompute/topology/orbit/online-orbit-constellation.cc	不复制 Python 轨道公式
contrib/satcompute/tools/generation/topology/orbit/hypatia/orbit_positions.py	replaced	contrib/satcompute/topology/orbit/online-orbit-constellation.cc	ECEF 位置由 ns-3.48 C++ mobility 计算
contrib/satcompute/tools/generation/topology/orbit/hypatia/resolve_constellation.py	replaced	contrib/satcompute/topology/orbit/constellation-definition.cc	星座解析进入 C++ closed-world reader
contrib/satcompute/tools/generation/topology/orbit/hypatia/smoke_positions.py	replaced	contrib/satcompute/tests/unit/online-orbit-foundation-test.cc	位置 smoke 由项目 C++ 测试覆盖
contrib/satcompute/tools/generation/topology/orbit/hypatia/vendor/__init__.py	removed	contrib/satcompute/tools/generation/topology/README.md	未迁移 Hypatia vendor package
contrib/satcompute/tools/generation/topology/orbit/hypatia/vendor/hypatia_minimal/LICENSE	removed	contrib/satcompute/tools/generation/topology/README.md	对应第三方源码未进入主线
contrib/satcompute/tools/generation/topology/orbit/hypatia/vendor/hypatia_minimal/ORIGIN.json	removed	contrib/satcompute/tools/generation/topology/README.md	对应第三方源码未进入主线
contrib/satcompute/tools/generation/topology/orbit/hypatia/vendor/hypatia_minimal/__init__.py	removed	contrib/satcompute/tools/generation/topology/README.md	对应第三方 Python package 未进入主线
contrib/satcompute/tools/generation/topology/orbit/hypatia/vendor/hypatia_minimal/coordinates.py	replaced	contrib/satcompute/topology/orbit/online-orbit-constellation.cc	坐标由 ns-3.48 C++ mobility 计算
contrib/satcompute/tools/generation/topology/orbit/hypatia/vendor/hypatia_minimal/tle_generator.py	removed	contrib/satcompute/topology/orbit/constellation-definition.cc	当前输入是 Walker 物理结构而非 TLE
contrib/satcompute/tools/generation/topology/orbit/hypatia/vendor/hypatia_minimal/tle_reader.py	removed	contrib/satcompute/topology/orbit/constellation-definition.cc	当前平台不读取 TLE
contrib/satcompute/tools/generation/topology/orbit/hypatia/walker_tles.py	removed	contrib/satcompute/topology/orbit/constellation-definition.cc	Walker 参数直接进入原生 C++ 轨道模型
contrib/satcompute/tools/generation/topology/static/__init__.py	replaced	contrib/satcompute/tools/generation/topology/topology-generator.cc	静态生成使用共享 executable 的单切片参数
contrib/satcompute/tools/generation/topology/static/generate_static_topology.py	replaced	contrib/satcompute/tools/generation/topology/topology-generator.cc	不维护第二套静态拓扑算法
contrib/satcompute/tools/visualization/__init__.py	replaced	contrib/satcompute/tools/visualization/orbit/__init__.py	父目录使用 namespace package，orbit 子包保留
contrib/satcompute/tools/visualization/orbit/docs/orbit-351-300s.png	removed	contrib/satcompute/tests/integration/smoke/orbit_visualization.py	旧 Hypatia 截图不作为当前 XYZ 证据
contrib/satcompute/tools/visualization/orbit/docs/orbit-351-600s.png	removed	contrib/satcompute/tests/integration/smoke/orbit_visualization.py	从当前 topology trace 按需重新渲染
contrib/satcompute/tools/visualization/orbit/docs/orbit-351-900s.png	removed	contrib/satcompute/tests/integration/smoke/orbit_visualization.py	不提交生成图片
contrib/satcompute/tools/visualization/orbit/docs/orbit-66-isl-300s.png	removed	contrib/satcompute/tests/integration/smoke/orbit_visualization.py	旧 Hypatia ISL 截图不迁移
contrib/satcompute/tools/visualization/orbit/docs/orbit-66-isl-600s.png	removed	contrib/satcompute/tests/integration/smoke/orbit_visualization.py	当前 renderer 读取 manifest 活动 ISL
contrib/satcompute/tools/visualization/orbit/docs/orbit-66-isl-900s.png	removed	contrib/satcompute/tests/integration/smoke/orbit_visualization.py	可选 GIF 写入仓库外目录
contrib/satcompute/wscript	replaced	contrib/satcompute/CMakeLists.txt	ns-3.48 使用 CMake 和 ./ns3 包装器
